Date,Home/Neutral,PTS,PTS.1,Unnamed: 5,Visitor/Neutral,link,no_box
"Sun, Aug 24, 1997",New York Liberty,72,79,Box Score,Cleveland Rockers,/wnba/boxscores/199708240NYL.html,
"Sun, Aug 24, 1997",Phoenix Mercury,68,73,Box Score,Los Angeles Sparks,/wnba/boxscores/199708240PHO.html,
"Thu, Aug 28, 1997",Houston Comets,54,70,Box Score,Charlotte Sting,/wnba/boxscores/199708280HOU.html,
"Thu, Aug 28, 1997",Phoenix Mercury,59,41,Box Score,New York Liberty,/wnba/boxscores/199708280PHO.html,
"Sat, Aug 30, 1997",Houston Comets,51,65,Box Score,New York Liberty,/wnba/boxscores/199708300HOU.html,
"Thu, Jun 11, 1998",Charlotte Sting,57,83,Box Score,Washington Mystics,/wnba/boxscores/199806110CHA.html,
"Thu, Jun 11, 1998",Cleveland Rockers,71,78,Box Score,New York Liberty,/wnba/boxscores/199806110CLE.html,
"Thu, Jun 11, 1998",Sacramento Monarchs,73,70,Box Score,Phoenix Mercury,/wnba/boxscores/199806110SAC.html,
"Thu, Jun 11, 1998",Utah Starzz,89,83,Box Score,Los Angeles Sparks,/wnba/boxscores/199806110UTA.html,
"Sat, Jun 13, 1998",Detroit Shock,78,69,Box Score,Charlotte Sting,/wnba/boxscores/199806130DET.html,
"Sat, Jun 13, 1998",Houston Comets,62,73,Box Score,New York Liberty,/wnba/boxscores/199806130HOU.html,
"Sat, Jun 13, 1998",Utah Starzz,77,78,Box Score,Washington Mystics,/wnba/boxscores/199806130UTA.html,
"Sun, Jun 14, 1998",Phoenix Mercury,60,70,Box Score,Los Angeles Sparks,/wnba/boxscores/199806140PHO.html,
"Mon, Jun 15, 1998",Charlotte Sting,79,65,Box Score,Houston Comets,/wnba/boxscores/199806150CHA.html,
"Mon, Jun 15, 1998",Detroit Shock,96,85,Box Score,Cleveland Rockers,/wnba/boxscores/199806150DET.html,
"Mon, Jun 15, 1998",Phoenix Mercury,54,69,Box Score,Washington Mystics,/wnba/boxscores/199806150PHO.html,
"Mon, Jun 15, 1998",Utah Starzz,60,71,Box Score,New York Liberty,/wnba/boxscores/199806150UTA.html,
"Tue, Jun 16, 1998",Sacramento Monarchs,69,73,Box Score,Los Angeles Sparks,/wnba/boxscores/199806160SAC.html,
"Thu, Jun 18, 1998",Charlotte Sting,67,71,Box Score,Detroit Shock,/wnba/boxscores/199806180CHA.html,
"Thu, Jun 18, 1998",Houston Comets,69,87,Box Score,Cleveland Rockers,/wnba/boxscores/199806180HOU.html,
"Thu, Jun 18, 1998",Sacramento Monarchs,64,48,Box Score,New York Liberty,/wnba/boxscores/199806180SAC.html,
"Fri, Jun 19, 1998",Los Angeles Sparks,75,78,Box Score,New York Liberty,/wnba/boxscores/199806190LAS.html,
"Fri, Jun 19, 1998",Washington Mystics,76,83,Box Score,Utah Starzz,/wnba/boxscores/199806190WAS.html,
"Sat, Jun 20, 1998",Cleveland Rockers,66,68,Box Score,Detroit Shock,/wnba/boxscores/199806200CLE.html,
"Sat, Jun 20, 1998",Sacramento Monarchs,79,68,Box Score,Houston Comets,/wnba/boxscores/199806200SAC.html,
"Sun, Jun 21, 1998",Los Angeles Sparks,79,63,Box Score,Houston Comets,/wnba/boxscores/199806210LAS.html,
