,date,team1,team1_odds,team1_score,team2,team2_odds,team2_score
2255,2019-09-22,Las Vegas Aces,142,92,Washington Mystics,-182,75
2256,2019-09-20,Washington Mystics,-556,103,Las Vegas Aces,392,91
2257,2019-09-19,Connecticut Sun,-127,94,Los Angeles Sparks,100,68
2258,2019-09-18,Washington Mystics,-625,97,Las Vegas Aces,423,95
2259,2019-09-17,Connecticut Sun,-127,84,Los Angeles Sparks,100,75
2260,2019-09-15,Las Vegas Aces,-192,93,Chicago Sky,150,92
2261,2019-09-15,Los Angeles Sparks,-323,92,Seattle Storm,238,69
2262,2019-09-12,Seattle Storm,-137,84,Minnesota Lynx,110,74
2263,2019-09-12,Chicago Sky,-303,105,Phoenix Mercury,229,76
2264,2019-09-08,Atlanta Dream,-147,63,New York Liberty,120,71
2265,2019-09-08,Dallas Wings,170,64,Seattle Storm,-208,78
2266,2019-09-08,Indiana Fever,136,104,Connecticut Sun,-167,76
2267,2019-09-08,Los Angeles Sparks,-175,77,Minnesota Lynx,144,68
2268,2019-09-08,Phoenix Mercury,138,89,Las Vegas Aces,-169,98
2269,2019-09-08,Washington Mystics,-323,100,Chicago Sky,257,86
2270,2019-09-07,Phoenix Mercury,-141,69,Minnesota Lynx,114,83
2271,2019-09-07,Connecticut Sun,-256,104,Chicago Sky,204,109
2272,2019-09-07,New York Liberty,108,81,Indiana Fever,-132,86
2273,2019-09-07,Washington Mystics,-2500,86,Dallas Wings,1070,73
2274,2019-09-06,Los Angeles Sparks,-278,102,Seattle Storm,217,68
2275,2019-09-06,Atlanta Dream,459,78,Las Vegas Aces,-714,74
2276,2019-09-05,Connecticut Sun,-714,102,Dallas Wings,480,72
2277,2019-09-04,Los Angeles Sparks,-667,70,Atlanta Dream,440,60
2278,2019-09-04,Phoenix Mercury,-233,70,Seattle Storm,184,82
2279,2019-09-04,New York Liberty,751,77,Washington Mystics,-1429,93
2280,2019-09-02,Minnesota Lynx,-500,81,Indiana Fever,354,73
2281,2019-09-02,Seattle Storm,-435,92,Atlanta Dream,326,75
2282,2019-09-01,Chicago Sky,-172,105,Phoenix Mercury,140,78
2283,2019-09-01,Las Vegas Aces,-179,92,Los Angeles Sparks,143,86
2284,2019-09-01,Dallas Wings,451,85,Washington Mystics,-667,91
2285,2019-08-31,New York Liberty,395,84,Connecticut Sun,-556,94
2286,2019-08-30,Chicago Sky,-769,83,Dallas Wings,496,88
2287,2019-08-30,Atlanta Dream,200,58,Phoenix Mercury,-256,65
2288,2019-08-30,Indiana Fever,204,83,Los Angeles Sparks,-263,87
2289,2019-08-28,Seattle Storm,-141,70,Connecticut Sun,114,89
2290,2019-08-28,Minnesota Lynx,-175,93,Chicago Sky,142,85
2291,2019-08-28,Indiana Fever,252,86,Las Vegas Aces,-323,71
2292,2019-08-28,New York Liberty,213,82,Phoenix Mercury,-270,95
2293,2019-08-28,Washington Mystics,-357,95,Los Angeles Sparks,265,66
2294,2019-08-26,Minnesota Lynx,135,98,Las Vegas Aces,-167,77
2295,2019-08-26,Seattle Storm,-556,54,Indiana Fever,387,63
2296,2019-08-25,Phoenix Mercury,-189,86,Chicago Sky,152,94
2297,2019-08-25,Los Angeles Sparks,-217,84,Connecticut Sun,175,72
2298,2019-08-25,Dallas Wings,-227,73,Atlanta Dream,181,77
2299,2019-08-25,Washington Mystics,-2000,101,New York Liberty,941,72
2300,2019-08-24,Chicago Sky,220,85,Washington Mystics,-278,78
2301,2019-08-24,Connecticut Sun,-120,89,Las Vegas Aces,-102,85
2302,2019-08-24,New York Liberty,-159,87,Atlanta Dream,127,90
2303,2019-08-23,Los Angeles Sparks,-526,98,Indiana Fever,374,65
2304,2019-08-23,Minnesota Lynx,-357,86,Dallas Wings,266,70
2305,2019-08-21,Los Angeles Sparks,-263,81,Minnesota Lynx,204,71
2306,2019-08-21,Las Vegas Aces,-417,84,Phoenix Mercury,305,79
2307,2019-08-21,Atlanta Dream,193,83,Chicago Sky,-244,87
2308,2019-08-21,Indiana Fever,-217,76,New York Liberty,172,82
2309,2019-08-19,Seattle Storm,-172,82,Minnesota Lynx,138,74
2310,2019-08-18,Chicago Sky,104,85,Las Vegas Aces,-128,100
2311,2019-08-18,Phoenix Mercury,-222,78,New York Liberty,175,72
2312,2019-08-18,Connecticut Sun,-556,78,Dallas Wings,405,68
2313,2019-08-18,Washington Mystics,-1111,107,Indiana Fever,675,68
2314,2019-08-17,Phoenix Mercury,-169,77,Atlanta Dream,138,68
2315,2019-08-17,Chicago Sky,102,91,Los Angeles Sparks,-127,81
